"id","theater_name","show","location","prices","dates","current_date","days_elapsed","Latitud","Longitud"
1,"teatros luchana madrid","doble o nada madrid","Madrid",18,2021-05-07,2024-03-22,1050,NA,NA
2,"teatre condal barcelona","yo sobrevivi a la egb en barcelona","Barcelona",17,2022-06-17,2024-03-22,644,"41.3749","2.16526"
3,"teatro encantado madrid","magia de cerca en madrid","Madrid",15,2022-08-27,2024-03-22,573,"40.3985","-3.7039"
4,"pequeno teatro gran via madrid","corta cable rojo madrid","Madrid",20,2022-08-31,2024-03-22,569,"40.422416","-3.7089372"
5,"off latina","imposible javier luxor en madrid","Madrid",6.5,2022-09-03,2024-03-22,566,"40.412667","-3.71208"
6,"teatro arlequin","la mama en madrid","Madrid",12,2022-09-26,2024-03-22,543,"40.42147","-3.70853"
7,"gran teatro caixabank principe pio madrid","david guapo madrid","Madrid",20,2022-10-08,2024-03-22,531,"40.421075","-3.718859"
8,"teatro arlequin","la azotea madrid","Madrid",14,2022-10-12,2024-03-22,527,"40.42147","-3.70853"
9,"teatro capitol madrid","alex clavero en madrid","Madrid",16,2022-10-22,2024-03-22,517,"40.420692","-3.706614"
10,"teatro figaro madrid","una terapia integral en madrid","Madrid",16,2023-01-01,2024-03-22,446,"40.413488","-3.703703"
11,"Teatre Goya","la trena en barcelona","Barcelona",15,2023-02-01,2024-03-22,415,NA,NA
12,"cincomonos espai d art","aqui estoy en barcelona","Barcelona",15,2023-02-25,2024-03-22,391,NA,NA
13,"teatro la latina madrid","el nombre en madrid","Madrid",16,2023-02-27,2024-03-22,389,"40.4113","-3.70874"
14,"cinesa fuencarral madrid","los locos de la impro con andreu casanova en madrid","Madrid",16,2023-03-09,2024-03-22,379,NA,NA
15,"teatro la latina madrid","lotto en madrid","Madrid",16,2023-03-13,2024-03-22,375,"40.4113","-3.70874"
16,"teatro arlequin","fuego salvaje en madrid","Madrid",12,2023-03-13,2024-03-22,375,"40.42147","-3.70853"
17,"teatro zorrilla valladolid","la hora y media de el club de la comedia valladolid","Valladolid",22,2023-03-30,2024-03-22,358,"41.6522","-4.72866"
18,"sala pangoli","el darrer harrington en barcelona","Barcelona",15,2023-04-08,2024-03-22,349,NA,NA
19,"teatro lara madrid","alicia en el pais de las maravillas en madrid","Madrid",18,2023-04-30,2024-03-22,327,"40.42241","-3.704353"
20,"teatro arlequin","tiquismiquis en madrid","Madrid",15,2023-05-06,2024-03-22,321,"40.42147","-3.70853"
21,"teatro infanta isabel madrid","vive moliere en madrid","Madrid",12,2023-05-09,2024-03-22,318,"40.422231","-3.695507"
22,"cincomonos espai d art","obscena familiar en barcelona","Barcelona",15,2023-05-27,2024-03-22,300,NA,NA
23,"off latina","escrabel en madrid","Madrid",12.5,2023-05-27,2024-03-22,300,"40.412667","-3.71208"
24,"la villarroel barcelona","lilla deserta en barcelona","Barcelona",21.6,2023-06-02,2024-03-22,294,NA,NA
25,"off latina","profluencers madrid","Madrid",12.5,2023-06-04,2024-03-22,292,"40.412667","-3.71208"
26,"teatro lara madrid","madres en madrid","Madrid",22,2023-06-13,2024-03-22,283,"40.42241","-3.704353"
27,"teatro infanta isabel madrid","el anticoach con pablo chiapella funcion especial en madrid","Madrid",18,2023-06-24,2024-03-22,272,"40.422231","-3.695507"
28,"gran teatro caixabank principe pio madrid","trash yllana en madrid","Madrid",22,2023-07-15,2024-03-22,251,"40.421075","-3.718859"
29,"teatro lara madrid","entrevista en madrid","Madrid",12,2023-07-28,2024-03-22,238,"40.42241","-3.704353"
30,"teatros luchana madrid","pareja abierta en madrid","Madrid",14.9,2023-07-29,2024-03-22,237,NA,NA
31,"safe house","aqui y ahora monologo comico terapeutico en barcelona","Barcelona",13.31,2023-07-29,2024-03-22,237,NA,NA
32,"teatro lara madrid","lo positivo de fracasar en madrid","Madrid",18,2023-08-03,2024-03-22,232,"40.42241","-3.704353"
33,"off latina","magia a saco en madrid","Madrid",7.5,2023-08-04,2024-03-22,231,"40.412667","-3.71208"
34,"teatros luchana madrid","fiesta en la granja en madrid","Madrid",11.9,2023-08-19,2024-03-22,216,NA,NA
35,"teatros luchana madrid","una rana y los dinos en madrid","Madrid",9.9,2023-08-19,2024-03-22,216,NA,NA
36,"teatros luchana madrid","la magia esta en ti en madrid","Madrid",11.9,2023-08-19,2024-03-22,216,NA,NA
37,"teatros luchana madrid","una rana en el mar en madrid","Madrid",9.9,2023-08-20,2024-03-22,215,NA,NA
38,"teatros luchana madrid","tarari y tantan buscando la luna en madrid","Madrid",11.9,2023-08-20,2024-03-22,215,NA,NA
39,"teatros luchana madrid","princesa 20 en madrid","Madrid",11.9,2023-08-26,2024-03-22,209,NA,NA
